1,Mausoleum,Phase 1,Blk 23,Lot 1,30/11/2022,18/04/1997,Brady Sawyer,02/08/2014,14.36374,120.90846
2,Mausoleum,Phase 1,Blk 23,Lot 2,30/11/2022,28/11/2019,Tyrone Barnes,04/08/2021,14.36377,120.90846
3,Mausoleum,Phase 1,Blk 23,Lot 3,30/11/2022,03/02/2019,Jana Lam,26/02/2021,14.36381,120.90846
4,Mausoleum,Phase 1,Blk 23,Lot 4,30/11/2022,22/07/2016,Luigi Garza,18/12/2019,14.36384,120.90846
5,Mausoleum,Phase 1,Blk 23,Lot 5,30/11/2022,19/06/1994,Napoleon Estes,29/12/1998,14.36387,120.90847
6,Mausoleum,Phase 1,Blk 23,Lot 6,30/11/2022,18/05/2019,Leslie Ewing,14/05/2022,14.36391,120.90847
7,Mausoleum,Phase 1,Blk 23,Lot 7,30/11/2022,08/10/1994,Daisy Hood,05/05/2021,14.36395,120.90847
8,Mausoleum,Phase 1,Blk 23,Lot 8,30/11/2022,24/11/2016,Cleo Choi,21/01/2020,14.36399,120.90847
9,Mausoleum,Phase 1,Blk 23,Lot 9,30/11/2022,05/04/1993,Leann Coffey,24/05/2006,14.36403,120.90847
10,Mausoleum,Phase 1,Blk 23,Lot 10,30/11/2022,07/01/2000,Darrin Cole,17/03/2018,14.36406,120.90848
11,Mausoleum,Phase 1,Blk 23,Lot 11,30/11/2022,13/06/2002,Tom Morton,28/07/2003,14.36409,120.90848
12,Mausoleum,Phase 1,Blk 23,Lot 12,30/11/2022,03/04/2018,Estelle Kennedy,16/08/2019,14.36413,120.90848
13,Mausoleum,Phase 1,Blk 23,Lot 13,30/11/2022,27/10/2021,Michael Alvarez,07/11/2021,14.36416,120.90848
14,Mausoleum,Phase 1,Blk 23,Lot 14,30/11/2022,01/10/2012,Candy Floyd,10/04/2018,14.3642,120.90849
15,Mausoleum,Phase 1,Blk 23,Lot 15,30/11/2022,22/08/2015,Freddy Logan,18/11/2018,14.36424,120.90849
16,Mausoleum,Phase 1,Blk 23,Lot 16,30/11/2022,19/11/1997,Roxanne Murray,19/01/2007,14.36427,120.9085
17,Mausoleum,Phase 1,Blk 23,Lot 17,30/11/2022,11/06/2013,Hazel Welch,11/06/2022,14.36431,120.9085
18,Mausoleum,Phase 1,Blk 23,Lot 18,30/11/2022,16/06/2003,Tami Villa,09/08/2014,14.36434,120.9085
19,Mausoleum,Phase 1,Blk 23,Lot 19,30/11/2022,29/06/2021,Verna Ramirez,16/08/2022,14.36438,120.90851
20,Mausoleum,Phase 1,Blk 23,Lot 20,30/11/2022,18/06/1995,Linwood Craig,26/08/2005,14.36442,120.90851
21,Mausoleum,Phase 3,Blk 24,Lot 1,30/11/2022,22/01/2001,Sam Hicks,06/01/2003,14.36467,120.90847
22,Mausoleum,Phase 3,Blk 24,Lot 2,30/11/2022,21/07/2012,Dante Torres,17/01/2022,14.3647,120.90845
23,Mausoleum,Phase 3,Blk 24,Lot 3,30/11/2022,24/11/2009,Eula Bowman,10/05/2013,14.36473,120.90842
24,Mausoleum,Phase 3,Blk 24,Lot 4,30/11/2022,02/11/2014,Isidro Green,12/09/2019,14.36476,120.90841
25,Mausoleum,Phase 3,Blk 24,Lot 5,30/11/2022,14/08/2011,Clarice Orozco,11/02/2021,14.36479,120.90839
26,Mausoleum,Phase 3,Blk 24,Lot 6,30/11/2022,29/07/1995,Antwan Moses,21/05/2018,14.36482,120.90836
27,Mausoleum,Phase 2,Blk 18,Lot 1,30/11/2022,08/04/2006,Demarcus Zamora,29/08/2019,14.364,120.91035
28,Mausoleum,Phase 2,Blk 18,Lot 2,30/11/2022,26/12/2007,Dean Olsen,26/03/2009,14.36403,120.91033
29,Mausoleum,Phase 2,Blk 18,Lot 3,30/11/2022,06/11/1997,Rosemarie Mullins,19/04/2007,14.36405,120.9103
30,Mausoleum,Phase 2,Blk 18,Lot 4,30/11/2022,07/06/1994,Grace Montes,03/03/2014,14.36408,120.91028
31,Mausoleum,Phase 2,Blk 18,Lot 5,30/11/2022,14/03/2000,Duncan Rose,15/08/2011,14.36415,120.91025
32,Mausoleum,Phase 2,Blk 18,Lot 6,30/11/2022,06/06/2011,Lavonne Mendoza,11/10/2015,14.36419,120.91025
33,Mausoleum,Phase 2,Blk 18,Lot 7,30/11/2022,17/12/1993,Janette Morrow,03/07/2017,14.36422,120.91024
34,Mausoleum,Phase 2,Blk 18,Lot 8,30/11/2022,08/03/2016,Genevieve Hahn,07/07/2021,14.36425,120.91023
35,Mausoleum,Phase 2,Blk 18,Lot 9,30/11/2022,04/02/1990,Jewel Beasley,24/03/2009,14.36428,120.91022
36,Mausoleum,Phase 2,Blk 18,Lot 10,30/11/2022,19/04/2010,Damian Bailey,15/01/2014,14.3643,120.91022
37,Mausoleum,Phase 2,Blk 18,Lot 11,30/11/2022,16/04/1995,Willard Everett,22/01/2003,14.36433,120.91021
38,Mausoleum,Phase 2,Blk 18,Lot 12,30/11/2022,17/01/1993,Gladys Castaneda,02/10/2008,14.36435,120.9102
39,Mausoleum,Phase 2,Blk 18,Lot 13,30/11/2022,09/07/2006,Shelton Wyatt,08/12/2012,14.36438,120.9102
40,Mausoleum,Phase 2,Blk 18,Lot 14,30/11/2022,14/11/2009,Carol Wells,14/07/2018,14.36441,120.91019
41,Mausoleum,Phase 2,Blk 18,Lot 15,30/11/2022,19/08/2009,Ivory Salinas,14/05/2013,14.36444,120.91019
42,Mausoleum,Phase 2,Blk 18,Lot 16,30/11/2022,07/01/2021,Ester Norris,18/03/2022,14.36447,120.91018
43,Mausoleum,Phase 4,Blk 25,Lot 1,30/11/2022,14/05/2016,Clyde Soto,26/04/2017,14.36467,120.91009
44,Mausoleum,Phase 4,Blk 25,Lot 2,30/11/2022,13/05/2015,Rueben Weeks,28/11/2020,14.36471,120.91008
45,Mausoleum,Phase 4,Blk 25,Lot 3,30/11/2022,06/06/2000,Dollie Mills,20/05/2019,14.36474,120.91007
46,Mausoleum,Phase 4,Blk 25,Lot 4,30/11/2022,18/10/1993,Kenton Wilkinson,10/02/2007,14.36477,120.91006
47,Mausoleum,Phase 4,Blk 25,Lot 5,30/11/2022,26/09/2007,Fidel Spence,20/12/2015,14.3648,120.91006
48,Mausoleum,Phase 4,Blk 25,Lot 6,30/11/2022,28/04/2004,Bryant Sullivan,09/08/2006,14.36483,120.91006
49,Mausoleum,Phase 4,Blk 25,Lot 7,30/11/2022,02/09/2001,Sherri Pierce,28/04/2018,14.36486,120.91005
50,Mausoleum,Phase 4,Blk 25,Lot 8,30/11/2022,01/09/2010,Sara Forbes,07/05/2019,14.36488,120.91004
51,Apartment,Phase 3,Blk 17,Lot 2a,30/11/2022,06/12/2019,Harland Gonzales,02/07/2020,14.36468,120.90858
52,Apartment,Phase 3,Blk 17,Lot 2b,30/11/2022,05/08/2014,Carol Bowman,13/08/2018,14.36468,120.90858
53,Apartment,Phase 3,Blk 17,Lot 2c,30/11/2022,15/08/2018,Sophia Rush,09/01/2022,14.36468,120.90858
54,Apartment,Phase 3,Blk 17,Lot 2d,30/11/2022,12/04/2013,Lupe Davis,02/11/2019,14.36468,120.90858
55,Apartment,Phase 3,Blk 17,Lot 4a,30/11/2022,15/10/1996,Marquita Horne,28/11/2014,14.36468,120.90859
56,Apartment,Phase 3,Blk 17,Lot 4b,30/11/2022,19/07/2018,Ronnie Salas,21/06/2020,14.36468,120.90859
57,Apartment,Phase 3,Blk 17,Lot 4c,30/11/2022,11/03/2013,Gerald Allen,12/08/2016,14.36468,120.90859
58,Apartment,Phase 3,Blk 17,Lot 4d,30/11/2022,19/09/1997,Miles Mercer,08/01/2012,14.36468,120.90859
59,Apartment,Phase 3,Blk 17,Lot 6a,30/11/2022,01/12/1996,Frances Wang,31/01/2022,14.36469,120.9086
60,Apartment,Phase 3,Blk 17,Lot 6b,30/11/2022,28/11/1994,Estela Cowan,16/07/2013,14.36469,120.9086
61,Apartment,Phase 3,Blk 17,Lot 6c,30/11/2022,13/10/2000,Terrie Carter,31/12/2014,14.36469,120.9086
62,Apartment,Phase 3,Blk 17,Lot 6d,30/11/2022,17/07/2012,Dorsey Martinez,20/02/2013,14.36469,120.9086
63,Apartment,Phase 3,Blk 17,Lot 8a,30/11/2022,05/12/2016,Mabel Zavala,01/02/2020,14.3647,120.9086
64,Apartment,Phase 3,Blk 17,Lot 8b,30/11/2022,02/04/2007,Yesenia Patrick,02/06/2014,14.3647,120.9086
65,Apartment,Phase 3,Blk 17,Lot 8c,30/11/2022,30/06/1995,Maggie Yu,16/08/1997,14.3647,120.9086
66,Apartment,Phase 3,Blk 17,Lot 8d,30/11/2022,21/05/2000,Marco Patton,28/05/2004,14.3647,120.9086
67,Apartment,Phase 3,Blk 17,Lot 10a,30/11/2022,09/03/2007,Jarred Hansen,30/07/2008,14.36471,120.90861
68,Apartment,Phase 3,Blk 17,Lot 10b,30/11/2022,10/03/2019,Major Ferrell,12/04/2021,14.36471,120.90861
69,Apartment,Phase 3,Blk 17,Lot 10c,30/11/2022,30/06/1999,Jerry Duke,17/12/2006,14.36471,120.90861
70,Apartment,Phase 3,Blk 17,Lot 10d,30/11/2022,06/03/2005,Walker Byrd,24/10/2008,14.36471,120.90861
71,Apartment,Phase 3,Blk 17,Lot 12a,30/11/2022,09/12/2015,Sharlene Vang,26/06/2022,14.36471,120.90862
72,Apartment,Phase 3,Blk 17,Lot 12b,30/11/2022,13/03/2003,Leon Bryan,28/03/2017,14.36471,120.90862
73,Apartment,Phase 3,Blk 17,Lot 12c,30/11/2022,16/12/1995,Dana Thompson,09/12/1998,14.36471,120.90862
74,Apartment,Phase 3,Blk 17,Lot 12d,30/11/2022,21/09/2001,Leroy Mueller,13/08/2003,14.36471,120.90862
75,Apartment,Phase 3,Blk 17,Lot 14a,30/11/2022,04/11/2020,Simone Dean,30/12/2020,14.36472,120.90863
76,Apartment,Phase 3,Blk 17,Lot 14b,30/11/2022,27/02/1997,Garth Holden,16/08/1999,14.36472,120.90863
77,Apartment,Phase 3,Blk 17,Lot 14c,30/11/2022,16/07/2009,Deloris Peterson,18/02/2014,14.36472,120.90863
78,Apartment,Phase 3,Blk 17,Lot 14d,30/11/2022,28/09/2006,Norris Manning,27/09/2015,14.36472,120.90863
79,Apartment,Phase 3,Blk 17,Lot 16a,30/11/2022,20/09/2003,Carla White,16/12/2020,14.36473,120.90864
80,Apartment,Phase 3,Blk 17,Lot 16b,30/11/2022,25/05/2007,Jed Ewing,14/07/2012,14.36473,120.90864
81,Apartment,Phase 3,Blk 17,Lot 16c,30/11/2022,07/05/2018,Juliana Tran,19/04/2022,14.36473,120.90864
82,Apartment,Phase 3,Blk 17,Lot 16d,30/11/2022,19/05/2004,Van Cox,03/09/2007,14.36473,120.90864
83,Apartment,Phase 3,Blk 17,Lot 18a,30/11/2022,16/03/1993,Hilary Buchanan,25/03/2008,14.36473,120.90865
84,Apartment,Phase 3,Blk 17,Lot 18b,30/11/2022,13/12/2005,Bessie Buckley,20/04/2018,14.36473,120.90865
85,Apartment,Phase 3,Blk 17,Lot 18c,30/11/2022,17/05/2019,Quinn Acosta,21/05/2021,14.36473,120.90865
86,Apartment,Phase 3,Blk 17,Lot 18d,30/11/2022,10/07/1992,Franklyn Valencia,14/03/2018,14.36473,120.90865
87,Apartment,Phase 3,Blk 17,Lot 20a,30/11/2022,06/08/2017,Lorena Brewer,26/04/2021,14.36474,120.90865
88,Apartment,Phase 3,Blk 17,Lot 20b,30/11/2022,17/01/1992,Emery Haas,27/07/1994,14.36474,120.90865
89,Apartment,Phase 3,Blk 17,Lot 20c,30/11/2022,28/09/2010,Hillary Richmond,13/10/2020,14.36474,120.90865
90,Apartment,Phase 3,Blk 17,Lot 20d,30/11/2022,26/01/2003,Noreen Booth,03/12/2008,14.36474,120.90865
91,Apartment,Phase 3,Blk 17,Lot 22a,30/11/2022,05/08/2008,Jesus Boyer,22/12/2014,14.36475,120.90866
92,Apartment,Phase 3,Blk 17,Lot 22b,30/11/2022,15/10/2012,Hershel Sullivan,27/01/2018,14.36475,120.90866
93,Apartment,Phase 3,Blk 17,Lot 22c,30/11/2022,01/06/1998,Adam Peck,20/06/2009,14.36475,120.90866
94,Apartment,Phase 3,Blk 17,Lot 22d,30/11/2022,01/01/2014,Kermit Moon,31/01/2019,14.36475,120.90866
95,Apartment,Phase 3,Blk 17,Lot 24a,30/11/2022,17/10/1996,Jeff Oconnell,29/11/2011,14.36475,120.90867
96,Apartment,Phase 3,Blk 17,Lot 24b,30/11/2022,14/09/2002,Bertram Herman,25/10/2011,14.36475,120.90867
97,Apartment,Phase 3,Blk 17,Lot 24c,30/11/2022,24/03/2001,Carlos Compton,23/05/2022,14.36475,120.90867
98,Apartment,Phase 3,Blk 17,Lot 24d,30/11/2022,12/11/2016,Kelley Gonzalez,27/12/2020,14.36475,120.90867
